2278,墨藻奢享套装,http://www.givenchybeauty.cn/2012/12/13/墨藻奢享套装/
2165,墨藻珍萃柔肤水,http://www.givenchybeauty.cn/2012/10/31/墨藻珍萃柔肤水/
2149,墨藻珍萃蕾丝面膜,http://www.givenchybeauty.cn/2012/10/31/墨藻珍萃蕾丝面膜/
2119,精致小颜 V 脸底妆制胜,http://www.givenchybeauty.cn/2012/10/19/精致小颜-v脸底妆制胜/
2097,高级定制系列睫毛膏,http://www.givenchybeauty.cn/2012/10/18/高级定制系列睫毛膏/
2046,电光幻影四色眼影,http://www.givenchybeauty.cn/2012/09/29/电光幻影四色眼影-2/
2032,大丽诺浓香水,http://www.givenchybeauty.cn/2012/09/29/大丽诺浓香水/
2051,滋养修护粉底液,http://www.givenchybeauty.cn/2012/09/29/滋养修护粉底液-2/
2027,墨藻珍萃系列新品,http://www.givenchybeauty.cn/2012/09/29/墨藻珍萃面霜-2/
2037,笑卓欢颜精华乳,http://www.givenchybeauty.cn/2012/09/29/笑卓欢颜精华乳-2/
2016,大丽诺淡香水,http://www.givenchybeauty.cn/2012/09/28/大丽诺浓香氛-3/
2013,大丽诺淡香水,http://www.givenchybeauty.cn/2012/09/28/大丽诺浓香氛/
2010,大丽诺淡香水,http://www.givenchybeauty.cn/2012/09/28/大丽诺浓香氛-2/
2007,大丽诺浓香水,http://www.givenchybeauty.cn/2012/09/28/大丽诺淡香氛-3/
2004,大丽诺浓香水,http://www.givenchybeauty.cn/2012/09/28/大丽诺淡香氛/
2001,大丽诺浓香水,http://www.givenchybeauty.cn/2012/09/28/大丽诺淡香氛-2/
1922,电光幻影四色眼影,http://www.givenchybeauty.cn/2012/09/28/电光幻影四色眼影/
1892,抗皱密集修复面贴膜,http://www.givenchybeauty.cn/2012/09/21/抗皱密集修复面贴膜/
1896,细纹修复凝胶,http://www.givenchybeauty.cn/2012/09/21/细纹修复凝胶/
1546,焕颜美肌美容液 ,http://www.givenchybeauty.cn/2012/09/18/焕颜美肌美容液/
1559,焕颜美肌精华液 ,http://www.givenchybeauty.cn/2012/09/18/焕颜美肌精华液-3/
1568,焕颜美肌眼部精华乳 ,http://www.givenchybeauty.cn/2012/09/18/焕颜美肌眼部精华乳/
1573,广角炫翘睫毛膏卷翘型,http://www.givenchybeauty.cn/2012/09/18/炫翘睫毛膏卷翘型/
1575,焕颜美肌乳液 ,http://www.givenchybeauty.cn/2012/09/18/焕颜美肌乳液/
1583,墨藻珍萃精华乳 ,http://www.givenchybeauty.cn/2012/09/18/墨藻珍萃精华乳/
1584,广角炫翘睫毛膏纤长型,http://www.givenchybeauty.cn/2012/09/18/广角炫翘睫毛膏纤长型/
1587,墨藻珍萃眼霜 ,http://www.givenchybeauty.cn/2012/09/18/墨藻珍萃眼霜/
1592,广角炫翘睫毛膏防水型,http://www.givenchybeauty.cn/2012/09/18/广角炫翘睫毛膏防水型/
1595,墨藻珍萃面霜 ,http://www.givenchybeauty.cn/2012/09/18/墨藻珍萃面霜/
1601,魅彩眼线笔,http://www.givenchybeauty.cn/2012/09/18/魅彩眼线笔/
1607,修护调理水 ,http://www.givenchybeauty.cn/2012/09/18/修护调理水/
1608,眼线液,http://www.givenchybeauty.cn/2012/09/18/眼线液/
1612,完美全效精华素 ,http://www.givenchybeauty.cn/2012/09/18/完美全效精华素/
1616,定型眉笔,http://www.givenchybeauty.cn/2012/09/18/定型眉笔/
1621,魅彩眉笔,http://www.givenchybeauty.cn/2012/09/18/魅彩眉笔/
1622,修护密集护理精华液 ,http://www.givenchybeauty.cn/2012/09/18/修护密集护理精华液/
1627,完美活肤眼霜（日间/夜间）,http://www.givenchybeauty.cn/2012/09/18/完美活肤眼霜（日间夜间）/
